# 2D electrostatic potential on XZ plane
# Columns: X (nm)  Z (nm)  Potential (V)
# Grid: 171 x 171
  0.240403  6.597703  -4.052147e-01
  0.240403  6.658511  -5.017931e-01
  0.240403  6.719319  -5.181071e-01
  0.240403  6.780128  -4.644346e-01
  0.240403  6.840936  -3.671306e-01
  0.240403  6.901744  -2.137181e-01
  0.240403  6.962553  -9.239351e-03
  0.240403  7.023361  2.692741e-01
  0.240403  7.084169  1.091331e-01
  0.240403  7.144978  -3.520669e-01
  0.240403  7.205786  -2.998163e-01
  0.240403  7.266594  -3.983424e-01
  0.240403  7.327403  -5.769248e-01
  0.240403  7.388211  -5.330464e-01
  0.240403  7.449019  -1.539942e-01
  0.240403  7.509828  8.464053e-03
  0.240403  7.570636  8.311509e-02
  0.240403  7.631444  -1.158009e-01
  0.240403  7.692253  -5.884113e-01
  0.240403  7.753061  -5.179743e-01
  0.240403  7.813869  -7.631525e-02
  0.240403  7.874678  1.044015e-01
  0.240403  7.935486  -1.772469e-01
  0.240403  7.996294  -4.313267e-01
  0.240403  8.057103  -2.851573e-02
  0.240403  8.117911  -3.557286e-01
  0.240403  8.178719  6.910404e-02
  0.240403  8.239527  1.223330e-02
  0.240403  8.300336  -4.296281e-01
  0.240403  8.361144  -4.729078e-01
  0.240403  8.421952  -1.945296e-01
  0.240403  8.482761  -8.127186e-02
  0.240403  8.543569  -1.131236e-01
  0.240403  8.604377  -1.253902e-01
  0.240403  8.665186  2.328081e-01
  0.240403  8.725994  4.824410e-01
  0.240403  8.786802  7.957046e-01
  0.240403  8.847611  5.088173e-01
  0.240403  8.908419  2.699631e-01
  0.240403  8.969227  3.607411e-01
  0.240403  9.030036  4.691487e-01
  0.240403  9.090844  2.268464e-01
  0.240403  9.151652  -2.386239e-01
  0.240403  9.212461  -5.547369e-02
  0.240403  9.273269  2.808013e-02
  0.240403  9.334077  3.642871e-01
  0.240403  9.394886  3.723978e-01
  0.240403  9.455694  4.787599e-01
  0.240403  9.516502  6.127008e-01
  0.240403  9.577311  5.348535e-01
  0.240403  9.638119  3.413911e-01
  0.240403  9.698927  1.999022e-01
  0.240403  9.759735  5.032835e-01
  0.240403  9.820544  -3.067638e-02
  0.240403  9.881352  -2.862643e-01
  0.240403  9.942160  2.649060e-01
  0.240403  10.002969  1.984344e-01
  0.240403  10.063777  -1.973687e-01
  0.240403  10.124585  -3.222577e-01
  0.240403  10.185394  -5.388407e-02
  0.240403  10.246202  2.225459e-01
  0.240403  10.307010  3.009356e-01
  0.240403  10.367819  6.405456e-02

  0.309090  0.030404  -1.439355e-01
  0.309090  0.091212  2.587983e-01
  0.309090  0.152021  2.794828e-01
  0.309090  0.212829  1.418914e-01
  0.309090  0.273637  1.970492e-01
  0.309090  0.334446  -3.422670e-01
  0.309090  0.395254  -3.997434e-01
  0.309090  0.456062  -6.079701e-01
  0.309090  0.516871  4.691192e-02
  0.309090  0.577679  -4.782337e-02
  0.309090  0.638487  -3.057269e-01
  0.309090  0.699296  -9.442325e-02
  0.309090  0.760104  -2.520361e-02
  0.309090  0.820912  -1.384367e-01
  0.309090  0.881721  -2.620008e-01
  0.309090  0.942529  -3.174128e-01
  0.309090  1.003337  -3.536025e-01
